Idme,gender,age,UCLA3itemscale,Q9_Loneliness_Meaning_Qual,cleaned_text
28106,2,27,8.0,Aching emptiness when I need to be around other human beings. Being in a room of strangers and hating small talk when I want to talk about subjects in depth. Not knowing the jokes other people seem to share. Emotionally feeling like a fog separates me from other people. Looking at other people as I am walking down the street and wishing someone would smile at me or wondering which one of all these strangers could be my friend. Drawing portraits of people from magazines so I can pretend they are my friends. Sometimes I feel like I don't know how to act normal because it doesn't feel natural.,aching being stranger hating subject depth joke emotionally fog separate walking street smile wondering stranger drawing portrait magazine pretend friend act normal natural
42176,1,28,9.0,An ache in the heart. Not having someone to talk to And share life with ,ache heart
20939,2,23,9.0,an ache. not being known. not being understood. feeling a distance between self and people i'm with. feeling that the party is happening somewehre else.,ache known party happening somewhere
21154,1,29,6.0,An ache that is sometimes dulled but constant (for me). Not having someone to fuck. Not having someone to love and who loves you back in a mutual romantic relationship. Problems in relationships (all types) make me lonely because loneliness comes from schisms and misunderstandings in communication. As an artist I get lonely when no-one accepts my ideas or wants to take on my work. Loneliness is feeling misunderstood and ashamed because of problems that others you are meant to be close to don't really want to know about.,ache dulled constant fuck love mutual romantic problem relationship type come schism misunderstanding artist accepts idea want ashamed problem meant
47210,1,25,9.0,an aching in my stomach.  emptiness in my life and in my house.,aching stomach
2732,2,25,5.0, doing activities alone a lot of the time.,activity
22866,2,21,5.0,The actual or perceived separation between yourself and others you'd like to spend time with. ,actual perceived separation
22140,2,21,9.0,To afford life always and every day on my own,afford
24898,2,25,5.0,"Being afraid of getting through the next few hours without any help or support. Feeling that I have no right to contact anyone eg at night or at mealtimes. A physical ache, similar to hunger. ",afraid next hour right eg meantime ache hunger
33123,2,22,8.0,"  I'm afraid loneliness is one of those things I've never really understood or been able to relate to, so I'm not actually sure if I'm lonely or not. I've never had any friends â€“ at least, I don't think I have. It's hard to say. What exactly is a friend? How does one recognise a friend? I've spent much of my life working with people from many different backgrounds, both in the public sector as a teacher and college lecturer, and in the voluntary sector. But I don't know how many of them â€“ if any â€“ were friends. As I see it, there are people who like me and people who don't. But when I think of those people who like me, the majority of them I haven't seen for many years, so I'm not sure if I can rightfully count them as 'friends'. That's another problem: at what point does a friend cease to be a friend? After five years? Ten years? Twenty years? I've always felt that there must be a whole plethora of rules governing all these relationships, but I've never really understood how the system works. I am more or less retired now and can often go for several days without seeing or speaking to anyone, but I never really feel lonely. I have a grown-up daughter, to whom I have always been very close; I rarely see her these days as she's working and living away from home, but I still feel close to her. And I have a wife from whom I have been separated for 26 years but our relationship is amicable enough. They are my family. Then there are the people at my church whom I see every Sunday. They all seem to like me. Finally, there are my â€""Facebook friendsâ€ â€“ mostly former students of mine, plus a few cousins I have never met. But we keep in touch and sometimes exchange messages online. So, I suppose I am lonely by virtue of the fact that I lead such an isolated existence nowadays, but I don't actually feel lonely.       ",afraid thing friend exactly recognise spent background public sector teacher college lecturer voluntary sector friend majority seen year frightfully count friend cease five year men year twenty year must whole plethoric rule governing relationship system work le retired several day grown daughter day wife year amicable church sunday finally facebook friend mostly former student mine plus cousin met exchange message online suppose virtue existence nowadays
9640,2,23,7.0,Afraid of rejection. Desire for someone else to take the first step. Fear that I won't be able to reciprocate or won't want to do so. When I lack a sense of purpose; something greater than I am.,afraid rejection step dear reciprocated greater
37681,2,23,5.0,When because of age you are not included as much as you were when younger ,younger
4173,1,24,8.0,Agoraphobia ,agoraphobia
16341,3,26,5.0,"Agree that it is essentially a feeling of disconnection which may also include social isolation but not necessarily. Friendship is different from collegiate relationships at work or acquaintances.  To my mind it is like ""findikng your own tribe"" ie sharing values in common and sharing and enjoying the same experiences is a strong part of the attraction of good friends",agree essentially include collegiate relationship acquaintance tribe value experience strong attraction friend
20592,1,28,9.0,Alcohol. ,alcohol
42861,1,22,7.0,"As if you were an alien looking from a spacesuit, towards a crowd of socially adroit people. You don't feel like you are one of those people.",alien spacesuit towards adroit
11944,2,19,8.0,You are an alien in a world that speaks and behaves different to you. When you have not met someone who truly understands you for who you are. ,alien speaks behaves met
6561,1,23,7.0,"alienation, not knowing other people I can relate to. feeling need to be defensive.",alteration defensive
41443,1,19,6.0,alienation from self,alteration
16485,2,23,5.0,"Alienation from Self. Whilst severely tempted to indulge in a self-centred 'pity-party. Estrangement, living your life in your head. Lack of Interaction, being able to listen to the story of others. To speak, and hear your voice and to be heard.",alienation whilst severely tempted indulge centred pity party estrangement head story voice heard
31787,1,22,9.0,"Being alive is not worth the effort, without companionship.",alive
45065,1,20,7.0,Being alone.,
43102,1,21,4.0,alone ,
28903,2,22,7.0,when you are alone . ,
12380,1,28,4.0,Being alone.,
19331,2,29,9.0,being alone,
41073,2,29,6.0,To be alone,
45280,2,27,7.0,Alone. Apart. Emotionally distant.,emotionally distant
28835,3,27,8.0,Being alone beyond what is wanted. ,beyond
22074,1,26,4.0,Being alone can be a blassing and a curse,blessing curse
26513,2,25,6.0,When I'm alone and bored and feel like there is nobody who could do something with me.,
4833,2,21,7.0,Alone in a busy workplace. Alone isolated in rural commnity. Different ideas from the norm ie non practising can isolate u. ,workplace rural idea norm non practicing isolate
45985,2,28,5.0,being alone constantly.,constantly
12147,2,28,9.0,Being alone and out of contact with people and not enjoying it.,
16944,2,24,6.0,"Being alone in a crowd. Not fully being a part of what's going on.Being left out.I'm quite happy to be alone, but not with other people.",fully
10829,2,21,9.0,Being alone at crucial life moments ,crucial moment
24161,1,21,7.0,I like being alone some of each day.   Being with other people all the time is something I find exhausting.   I find I am happy to be alone during the day if I am going to have company in the evening - or vice versa.   Being lonely would make me very unhappy.,exhausting vice versa
37952,2,22,5.0,Being alone on days like Xmas day & other similar bank holidays when Families are together.  Not having any relations/family.  Embarassed to join in things like Free Xmas Lunch for people on their own.  Unable to attend local functions on my own as I feel inhibited & don't want pity. ,day bank holiday family relation embarrassed thing free lunch attend local function inhabited pity
21734,2,17,7.0,Being alone when you desire company. ,
43438,1,25,4.0,Being alone when you don't want to be.,
1149,2,16,9.0,being alone when you dont want to be. a feeling you cant escape,escape
48122,1,26,,"Being alone when you don't want to be, lacking meaningful relationships",relationship
21356,2,29,6.0,Being alone when you don't want to be. Loneliness is not being without other people as sometimes this is by choice.,
14399,2,20,6.0,Being alone when you don't want to be. Having no one to share things with. Having no-one to go on holiday with,thing
36084,2,23,5.0,Being alone when you don't want to be. Being trapped in a place or relationship that you don't want to be in,
42856,1,16,5.0,Being alone when you don't want to be; wanting to share and there's no one to share with.,
21682,1,25,4.0,"Being alone when you don't wish to be. Feeling left out of things. Isolated. Sad. Feeling disconnected from others, or misunderstood, especially by those you want to feel closest to. ",thing closest
9093,2,24,6.0,Being alone after the early death of a partner and not being near relatives. Having to create a new life.,early death near relative create
267,2,29,7.0,"Alone, empty, isolated, worried, worried for the future",worried worried
31716,1,20,3.0,"alone, empty, silent, no one to share ideas/experiences, sad",silent idea experience
5330,2,26,7.0,Being alone for extended periods. Feeling misunderstood by others. Feeling uncared for and unloved. Having no one to confide in. ,extended period
45211,2,20,8.0,Alone. Failure. Sad. Unmotivated.,failure unmotivated
25101,2,18,6.0,Alone. Fearful ,fearful
36302,1,17,6.0,Being alone. Feeling alone. Not having people around me,
25228,2,23,6.0,When being alone feels burdensome.  When being with other people yet unconnected to them.,feel burdensome unconnected
40511,1,21,6.0,Being alone and feeling empty with no one to turn to forbhelp or support.,forbhelp
44463,1,29,3.0,Being alone and feeling heavy ,heavy
19139,2,25,4.0,being alone when I feel isolated or bored or not able to engage with others.,engage
43173,2,22,6.0,Being alone and feeling like it will last forever. Nothing will ever change. I am alone because I am bad. There is something wrong with me that other people know about by seeing me or talking to me. Shame. ,forever shame
12169,1,23,8.0,"Being alone, feeling lonely, isolated, having no real connection with those around you. Knowing that you won't see or speak to anyone for hours on end. Watching life go on outside of your window and on your screen - feeling like a muted observer, occasionally flagging up your existence with a smile at the postman or a 'like' on your social media feed, hoping someone will throw you a conversational life-line, but knowing when they do it'll only be a fleeting rescue from drowning in your own self-perpetuating cycle of loneliness.",hour window screen mute observer occasionally flagging existence smile potman medium feed hoping throw conversational line fleeting rescue drowning perpetuating cycle
1098,2,27,8.0,"Being alone or feeling no sense of depth to relationships; that you have noone you can be real with, no community",depth relationship
2579,2,24,6.0,"Being alone and feeling that there's nobody who's interested in me, or who would support me if I needed it. ",
21121,1,27,9.0,"being alone, feeling unhappy",
23729,1,21,7.0,Alone. Freedom. Depression. Feeling.,freedom
28617,2,24,4.0,"I like being alone, to fulfil my innermost needs and creativity, but I fear the social isolation I have suffered from, since being stalked with death threats, and the loss of my closest friends, mainly to Cancer, has made it impossible to find the social integration I need.",fulfil innermost need creativity suffered stalked death threat closest friend mainly cancer impossible integration
45274,2,25,4.0,Being alone gives the chance to activly do something about it. To be brave.,give chance actively brave
28679,2,23,3.0,"Being alone in my head - whether there are people around or not. Having no one to listen to ,y problems or no one I trust.",head problem
35744,1,26,9.0,Being alone for hours on end. ,hour
16963,2,22,8.0,"I like to be alone, however I understand the mental conflict and issues it can bring. That worries me.",conflict issue bring worry
20095,1,22,5.0,being alone.Isolated even in a crowd. Vunerable. Frightened.Lack of confidence. Not taking part in living a full and happy life.Unhappiness.,venerable frightened unhappiness
25341,2,28,6.0,alone.isolated.lack of sharing,
5762,2,20,5.0,Being alone. Isolated. Marginalised. Having a shit time when others are enjoying themselves. Not connected with those around me.,marginalised shit
365,2,21,6.0,Being alone and isolated when you would rather not be,
43876,1,29,3.0,Alone. Isolation. Depressed  ,
28641,2,17,5.0,Being alone. Lacking direction. lacking purpose. feeling down & low,packing direction
45167,2,23,3.0,Alone. Lack of human contact . Lack of intelligent conversation.,intelligent
34379,2,20,9.0,Being alone in a large group of people. Not having anyone to share experiences with. Being in a group who ignore you.,experience ignore
2738,2,22,4.0,"Being alone and loneliness is not the same thing. Although it is possible to be both. I came from a very small family. And the culture I lived in then was centred around a lot of social interaction. I am not mature in social interaction, because in my family (eg mum at home all the time, dad away working late) I was kept away from all interaction. I was thought to be wary of other people. I was taught that, Other people were all bad and I had protect myself by keeping a distance, not talking to anyone, always be suspicious of alterior motives, etc. The first opportunity I had, eg age 21 I left this 'home' and moved miles away to be a 'normal' person. So long story short, I am alone, still practising what I learnt. I know full well I am VERY lonely. I can not however trust anyone. I just am resigned to the fact I will stay lonely. My niggle is, when I am old and frail (age 51 now) and unable to take care of myself, I will need to trust others. How will I do this? How will I leave the 'comfort' of my lonely kingdom, and bravely go out to the big bad world and submit to 'help'! Will I be understood after all these years of solidarity. I am seriously concerned of my future. Summary: loneliness; not talking to anyone. Having radio, social media for company. Scared of the noise the letter plate makes when the postman delivers post. Scared someone in a shop will talk to me and I will be found out. Only have 3 friends in the world, and they may well die before I.",came culture centred mature eg sum dad late kept wary taught protect keeping suspicious anterior motif eg moved mile normal story short practicing learnt resigned stay frail leave kingdom bravely big submit year solidarity seriously concerned summary radio medium noise letter plate make potman delivers post shop found friend
4612,1,28,8.0,I like being alone. But being lonely is different than being alone because it usually means you can't quickly be not-alone anymore. Because there is nobody you could really connect with to not be alone anymore. That is when you become lonely. ,mean quickly anymore anymore
38577,1,29,9.0,Being alone and lonely. Having nobody to talk with.,
31137,1,16,3.0,Being alone and longing for company ,
41692,1,16,6.0,Being alone while longing for company,
42248,2,23,8.0,Being alone for a long period of time. Having no one to talk and to share feelings ,feeling
21324,1,19,9.0,Being alone for long periods of time when no one calls or checks how you are. Being older and unable to do as much as I once did and not being able to take part in a number of activities that others do.,period call check older number activity
6163,1,19,6.0,Being alone for long periods of time without choice.,period
27900,2,22,9.0,Being alone a lot of the time. Not having people that you are close to around you. Not being able to share your thoughts/feelings with people around you,thought feeling
11783,2,27,7.0,I am alone much of the time. I am an only child and never married and I do not feel lonely. I think circumstances play a large part in loneliness and some could be influenced. I often think it is my responsibility where at all possible to take responsibility.,circumstance play influenced responsibility responsibility
27278,1,21,3.0,Being alone when you need someone to care for you and be there for you. Having to keep going because you cannot rely on anyone else. Having no one who understands you,
16166,2,18,7.0,"I like to be alone, and never feel lonely when I am on my own.  I understand that others feel differently, and I am interested in the difference between them and me.",differently
29807,2,21,5.0,Being alone. No contact with others either socially or work. Can be alone in a room full of people.,
40549,2,23,6.0,Being alone with no financial security it sometimes makes me suicidal,financial security make suicidal
1090,1,19,9.0,"Being alone, no friends, away from home, arrogant spouse, ",friend arrogant spouse
44596,2,23,5.0,being alone. no friends. everyone else having friends. not feeling you can be your true self around people. ,friend friend
46656,2,29,3.0,alone.no friends or visitors. depressed  boredon ,friend visitor
44841,2,28,7.0,Being alone with no interaction. There is no direct communication. I would link social media and scrolling through news feeds as part of loneliness. ,direct link medium strolling news need
42669,2,26,7.0,When being alone is no longer a good feeling or beneficial to yourself.,longer beneficial
22468,2,28,4.0,Being alone. No one to call on. No one to share life with. Feeling unworthy. My own fault. Feeling rejected. ,unworthy fault rejected
15820,3,21,7.0,"Being alone--having no one who cares about me or loves me,no one to share my thoughts with, no one who agrees with me or sees eye to eye with me or wants to share life with me or spend time with me.",care love thought agrees see eye eye want
10508,3,22,8.0,"Being alone, with no one to communicate with",
7727,1,27,3.0,Being Alone. No-one to confide in. No friends to help me or me to help them.,friend
47000,2,24,7.0,Alone. No one takes time to get to know me. No one is interested in me. Feel worthless. Isolated. Invisible. Too old to make new friends. People of my age already have their friends and don't tend to want more. ,take worthless friend already friend tend
22011,2,25,8.0,"Being alone, having no one to talk to or discuss things with.",discus thing
4001,1,28,7.0,"being alone, no one to talk to isolated ",
4205,2,26,8.0,Being alone and having no one to talk with. It is necessary to go out in order to find company. No one to 'do nothing with'. Needing to make advance arrangements for any social events.,necessary order feeding advance arrangement event
8115,1,27,3.0,Being alone with no one to talk to.  Having no one that you can rely on for moral support. Not having anyone to pass the time of day with.,moral pas
1658,1,28,6.0,Being alone with no one to talk. Not having anyone to turn to for help. Always having to make decisions.,decision
23403,2,28,5.0,Being alone.  With no one to talk to or share experiences.  ,experience
28838,2,21,7.0,Being alone. Having no one to turn to. Feeling detached. Feeling left out. Having no one looking out for you. ,detached
34616,2,24,3.0,Being alone with no one to turn to. Having no one to talk or simply to be with when you don't want to be alone. Feeling isolated from the world and uncomfortable about it.,simply uncomfortable
28792,2,24,9.0,Alone. Noone understands you. Your views interests differ from those around you,boone view interest differ
29971,1,24,7.0,Being alone. Having nobody to relate to.,
20623,1,22,8.0,Being alone. Not being able to talk to people when down.,
44043,2,26,6.0,Being alone. Not being able to do things with people. Being stuck in bed for a few days with nothing to do. Being far away from people. Being left out of things. Not feeling understood.,thing stuck bed day thing
189,1,25,8.0,Being alone but noyt actually enjoying it .,
33419,1,28,9.0,"being alone, not having anyone to share my life with, not having anyone to support me through the difficult times",time
25196,2,24,9.0,"Being alone is not in itself a bad thing, but when it becomes difficult or even seemingly impossible to escape from being alone the word loneliness comes to mind. In other words, loneliness is an overabundance of space, privacy and solitude that cannot be controlled by the individual experiencing it - such as an elderly individual who has outlived their friends, or a child who is ostracised by his peers.",becomes seemingly impossible escape word come overabundance privacy controlled experiencing elderly outlived friend ostracised peer
36479,2,28,6.0,"Being alone, but not through choice. Bleak.",bleak
27464,1,16,9.0,"When I am alone, not by choice, but by circumstances.",circumstance
28008,1,21,8.0,Being alone not through choice. Feeling misunderstood.,
36521,1,27,5.0,Being alone when it's not my choice. Not feeling any connection to those around me. Feeling disregarded by those around me.,disregarded
42556,1,20,6.0,"Being alone but not by choice, at a time when one seeks company. Feeling as though one has no-one to turn to in times of need.",seek time
25822,2,27,8.0,"Being alone when you have not chosen to be, or do not want to be. Especially when going through something difficult or challenging when you need support, or when something good is happening and you have nobody to share it with.",chosen challenging happening
32228,1,22,9.0,being alone and not feeling good about it,
14773,2,23,3.0,Being alone is NOT loneliness.,
14243,2,29,4.0,"Being alone is not the same as being lonely. And being alone can be a good place to be. You can be in the company of a large number of people and still be lonely. Being alone can allow for solitude.  Being alone can  sometimes be thought as being selfish â€“ I do what I want, when I want and in the way I want.",number allow selfish
5365,2,19,6.0,I'm alone not lonely. For me it's a choice. I like my me time and for me that's most of my time outside of work.,
42864,2,24,8.0,"Being alone, not being loved, not having family close by, not having money to meet with friends, not able to be understood",money friend
19430,2,27,7.0,Being alone does not necessarily mean being lonely. I enjoy my own company but it would be better to share things spontaneously at times. Going to bed alone is difficult sometimes as is having no one to bring me a cup of tea in bed. ,thing spontaneously time bed bring cup tea bed
14094,1,20,8.0,I am alone but not often feel lonely. The two are quite different. I would like to have friends to share things with but the fact I haven't doesn't upset me too much. ,friend thing upset
33327,1,28,8.0,Being alone.  Not being regarded as a valued person.,regarded
5748,2,24,9.0,Being alone when you do not want to be,
28173,2,25,6.0,Being alone but not wanting to be alone.,
34422,2,29,4.0,"Being alone and not wanting to be, also being misunderstood",
23253,1,22,4.0,"Being alone, and not wanting to be. Feeling excluded. Feeling cut off. Having nobody to talk to about intimate things",thing
20562,1,19,3.0,being alone and not wanting to. not having anyone to see or socialise with. ,
16068,2,26,4.0,Being alone when you do not want to be. Not having people who you can truly confide in. Not having someone to hug or be intimate with. Not having someone who will love and care for you forever. Worrying about having no one to share your future with.,hug forever worrying
24344,1,23,4.0,being alone (obviously) and having a problem with it,obviously
4171,2,26,6.0,Being alone more often than you would like. Feeling alone when with other people. Feeling other people don't understand you.,
26843,1,26,9.0,Being alone more often than I'd like to. Not being able to relate to anybody.,
31229,2,25,8.0,"being alone, physicaly or emotionaly and not wanting to be",
8201,2,18,6.0,"being alone, can be physical or psychological, no company, no one  to share things with",psychological thing
26449,2,21,9.0,Being alone physically and emotionally ,
432,2,19,9.0,"Being alone, physically and/or mentally. I like and need time by myself but then sometimes that slips into too much and i start to feel lonely. Loneliness to me is also not being able to reach out either to other people or to activities that make you feel better. Being trapped within yourself makes me feel lonely. ",mentally slip start activity make
6696,1,29,4.0,being alone to the point that it bothers you,
11238,2,23,4.0,Alone with a problem; not being understood or supported,
18607,1,28,3.0,Alone in a room full of people,
35624,1,22,9.0,Being alone.Solitary.Sad.Miserable.,solitary miserable
45048,1,26,3.0,being alone. spending time all by myself.,
46126,2,20,6.0,"Alone, strange, ",strange
40618,1,22,6.0,Being alone. Being surrounded by people but not those that like you or you like. Being surrounded by people you know but being excluded from the group even though you are physically there. ,
26263,1,17,4.0,being alone. thinking. reading. dreaming.,reading dreaming
26429,2,21,7.0,when being alone with your thoughts is distressing and upsetting. ,thought distressing upsetting
11596,2,28,4.0,Being alone with my thoughts.  Not being able to share things with people.  Not having people understand me.  Not knowing how to talk to people.  Not knowing how to relate to others.,thought thing
21054,2,21,5.0,being alone at times when I don't want to be alone. emotional isolation. not having someone there during the hardest times.,time hardest time
27686,2,24,6.0,Being alone most of the time and feeling the need for some company. ,
39696,2,28,8.0,Being alone most of the time. Not being able to communicate with others.  Not seeing others.  Staying in room alone. ,staying
24384,1,16,9.0,"Being alone in times of social togetherness.  Holidays, social times of the year, Christmas, Easter etc.  Even just weekends.  I find weekends are the worse.",time togetherness holiday time christmas master
4456,1,19,6.0,"I like being alone most of the time, but I would also like to have someone to talk to sometimes. I don't.",
15315,2,17,3.0,Being alone is true freedom. Loneliness is a skill. Like anything too much alone time can be burdensome.  Once you have successfull mastered the skill of solitude there comes a sense of mild euphoria.  ,freedom skill burdensome successful mastered skill come mild euphoria
43736,2,22,6.0,Alone.unable to discuss anything of importance..Disregarded.Ideas not taken into consideration. ,discus importance disregarded idea taken consideration
1790,1,24,5.0,Being alone and unable to share life happenings with others,happening
4569,2,24,9.0,Being alone. Unknown. Alien. Separated. Ashamed. Almost guilty. Unworthy. So much time to fill. No one wants to talk any more. They're busy with their own lives and people. ,unknown alien ashamed guilty unworthy fill want life
22874,1,25,7.0,"When I'm alone and wanting company, feeling an urge to be with and associate with people, ",urge associate
48079,2,21,,Being alone when wanting to be in the company of others.,
1441,2,23,5.0,Alone and weak.  Disconnected from the human race.,weak race
23178,1,24,4.0,Being alone whether that be physically or emotionally and wishing you weren't.,
2206,2,27,3.0,Being alone but without anyone checking in regularly or thinking about me. Not being considered in making plans. Being alone for long periods of time. Having friendships where other people's problems and ideas make it impossible to share your feelings. Being in a relationship where you are not valued or or listened to. ,checking regularly considered plan period friendship problem idea impossible feeling listened
2383,2,27,6.0,"Being alone, without anyone to turn to.",
36395,1,23,9.0,Being alone without intention. Having no one to turn to or share my experiences with. without a partner as in a personal in love relationship.,intention experience
44837,2,18,5.0,Being alone.  Without motivation.  Unable to relax into the arms of another.   Guilt about sitting doing nothing whereas doing nothing with a companion  there is no guilt.,motivation relax arm built whereas companion guilt
24407,1,17,9.0,"Being alone, without options or support. ",
46920,1,24,6.0,Being alone without others having any care or concern for you.,concern
4072,2,26,4.0,I like being alone.  I work full time and appreciate my time alone.  I am rarely lonely.,appreciate
1257,2,26,9.0,Being alone when I would like company,
24847,2,22,6.0,Being alone when you would like company. Sadness. Lack of confidence to interact and make friends. ,friend
41013,2,18,5.0,Being alone when you would prefer to be with other people.  Realising that several days have gone and you have not had a conversation with anyone.  Nobody to share your birthday with.  ,prefer realising several day gone birthday
2256,2,25,7.0,"I like being alone. When I was younger, I enjoyed solo rock-climbing, ice-climbing, mountaineering, and both whitewater and sea kayaking. Being alone makes the experience both more intense and satisfying. Alone and lonely are entirely separate things.",younger enjoyed solo rock climbing ice climbing mountaineering whitewater sea kayaking make intense satisfying entirely thing
21817,2,25,5.0,"Being along is a nice way to think on your life and your actions, so it's good that there are less distractions if you are alone. Yet sometimes it's so important to have somebody to rely on or to talk with, and it's sad not to have such a person around you.",along nice action le distraction met
42460,2,24,7.0,It can also happen when you are in a room full of people because you can't resonate with them.,resolute
21813,2,23,9.0,"Although I have had several periods of being ""on my own"" and relatively isolated throughout my life, I have always been very self-sufficient emotionally, and have rarely felt lonely. Being on my own, and with only my own companionship does not make me feel lonely - loneliness to me is a concept imposed by society rather than an inherent part of the way I feel. As a child, I felt that I was isolated from society to some extent, even when fully participating with firends/family/school etc.",several period relatively throughout sufficient concept imposed inherent extent fully participating friend
28179,2,22,3.0,"I am always alone, even in a crowded room.  The very few friends who love and understand me are far away.  I'm extremely glad we have social media.  I'm peculiar, so it's hard to be understood by others who are a little more neurotypical.",crowded friend extremely glad medium peculiar neurotypical
23418,2,26,5.0,Always coming back to an empty house.  Rarely being invited to someone else's house. Being ignored by couples.  Always attending social occasions alone.  Always going on holiday or outings alone.,invited couple attending occasion outing
25106,3,24,9.0,I always feel lonely from the moment I was born to the day I die. I do not need others' support or get hurt by anyone's action because no one matters to me except myself.,born hurt action matter except
35241,2,28,3.0,"I always feel like an outsider. My friends seem so 2 dimentional, not understanding the bigger picture, completely absorbed in their families. I often start a conversation with a group of people and then zone out as everything they say is so predictable. I can be very social, but have to be dragged out as I cannot be bothered with the trite things people do.",outsider friend dimentional bigger picture absorbed family start zone predictable dragged gathered trite thing
34654,2,16,9.0,"I have always felt on the outside of everything. I have learned to put on a veneer of confidence but I don't mix well. My partner works away so I am on my own a lot. However, at least I can be miserable without affecting others. Sometimes I just think I hate people. I don't really like having people to the house as I think they will be bored or judge my house.",learned put venter mix work miserable affecting hate judge
8548,2,26,8.0,"I have always felt understood by many. I am expressive and cannot say I have really ever felt lonely. I am married, love my family, have loving and kind friends. ",expressive loving friend
5973,1,28,7.0,Always being perceived as a fireigner,perceived foreigner
4467,2,19,9.0,Always having to plan to be with people. Not just having someone there. Spending more time alone than you would like. Feeling bad when you are alone for long periods. ,period
48906,1,22,,I always seem to want more of a connection with people than others want with me. I seem to be foundationally lonely.,foundationally
21873,1,23,9.0,When my ambience does not understand and support me. When I cannot share my ideas freely. When people around me are not true with me ,idea freely
31450,1,22,9.0,Anxiety. Lack of ideas. Emptyness,idea
40889,1,24,9.0,Anxiety. Not knowing what to do in social situations. Being socially inept. Feeling like you drive away everyone you care about.,situation inert drive
48260,2,24,,Anxiety. I would rather get bullied than be alone. I have always lived in residence Halls of colleges and now uni. I don't think I can take being alone. I don't like going home because I am pretty much all by myself. I can't eat alone.,pulled residence wall college un pretty eat
